isbn,books
0192126040,006008667X,075285884X,0743444787,3499132060,0333908732,0804109168,0842311645,0373871708,038533673X,0140103147
0060177594,1585670081,0805041486,0316152447,0312253370,0399517413,0413183904,0399550003,0865475768,0399526870,0867202076
0375410538,0393045897,068487069X,1931543119,0671568930,0399142800,1593080433,0786863234,0802116604,0873377206,0873378377
1585670081,0312253370,0060177594,0070479046,0553131192,0688001793,0195091477,0848805526,0553380567,1559724579,0446518131
0340767936,0099460262,0330343629,0066212596,0140238131,0879801638,0006547745,1582430047,039442350X,0571134602,0520061144
0878300481,0395629497,0679723374,0061064890,0671801090,0307124576,0345456866,030714190X,0785312803,0843949015,1557738270
0743403843,0912936002,0879059508,0394508947,0394523628,0879516070,0879513055,0394532805,0394542142,0879350660,0394550374
0786926945,0786927062,0060537264,0064410889,0064410862,0060561580,0060561572,0142301167,006106579X,156865684X,0395480086
0060930365,0226500616,0066620112,0805006117,0452266297,0441005845,0679454403,0060177756,0786706953,0786815450,0451526007
0590335545,0373761384,0373763034,0373272871,030702055X,037307672X,0934860726,0471045217,014044145X,0440409101,0671221566
0590416960,0449214184,0806985895,0553202839,0553157809,0553155199,0140042652,0517249073,0785312803,0471045217,014044145X
0553062042,0553285793,0312965036,0451405463,075285884X,1556618751,0863560253,031216906X,0471548316,0862417929,0380007576
0307115380,0806985895,0449214184,0446344877,0553270079,0553567950,0140042652,0553570544,0934860726,0373114923,0679877614
8445071777,8445071408,8408041193,2080721453,8408016245,2266117068,8434808986,8467004991,8495501295,0811834948,3453075358
0786927062,0786926945,0786918071,0060537264,0064410889,0064410862,0060561580,0060561572,0142301167,0786914246,006106579X
0312252617,0743423615,0425183653,0765309521,1890208825,0399149686,1590580486,0380789116,1590580273,1590580249,051513466X
1400303214,0310232538,0310700450,0310705541,0060093269,0446524263,0310250641,031023249X,0310232481,0310235936,0373240066
0316973742,0801036844,0814478255,0842388036,0684822733,0553052845,0679421009,1556113978,0375421750,1556115261,0671691805
0553347594,0684822733,0380978423,0867202076,0865473927,0399526870,0399517413,0399507906,0865475768,0399200525,0870114220
067976397X,1841952427,0701167130,0671724746,1902852028,0694523038,1883573351,0595191304,0349104786,0595188273,0060965002
9684443102,842161861X,8426109942,0749004754,0863580971,0865424721,0399148159,087022932X,0870119818,087011851X,0399149481
0671864769,067179325X,0596005075,0345339746,0373118694,0451137485,0743222849,0553052438,0445207043,0345284976,0312890354
0806112441,0671703552,0751506451,1565847407,1565847393,0525476644,1565842766,1565656296,0373440065,1565296273,0373440340
842161861X,9684443102,0749004754,8426109942,0915175223,0446610291,0312931441,1879181533,0312951337,0312951450,0809224275
0312953453,0373123043,0373711115,0739420038,0132306328,0231074883,0060170514,0231108680,0061043486,0781435102,0520063961
0310250641,0934860726,0879305525,0877952604,0425136809,0878577475,087877033X,0879059508,0879234911,0879350660,0875967639
0446608653,0671689843,0060172231,0441736637,0821223208,0452282349,006106520X,0373261632,0802131611,0671456555,1559945532
0310232538,1400303214,0310700450,0310705541,0060093269,0446524263,0310250641,0310232481,031023249X,0310235936,0373256620
0440409101,0307115380,0061076031,0446516244,0806985895,0553567950,0553570544,0140042652,0446344877,0934860726,0553486381
0553584383,155166271X,0312995431,0525476644,0380818302,0684855364,0373292368,0451526821,0380775549,038075553X,0515129062
0060093269,0310705541,0310700450,1400303214,0310232538,0446524263,0310250641,0310232481,031023249X,0310235936,0376030895
0743439740,0553024949,1877961116,0345341953,1555911927,0671818937,1556114249,0441736637,0452282349,0821223208,0802137326
0553484222,0737302291,0965608670,0806985895,0446516244,0785312803,0916773221,0671688359,0553486381,0553484230,0553481746
0380619458,0805010459,0140442316,0399505202,0140168540,0451409132,0575072180,051788433X,0802732801,1569471924,0446405329
0806524103,0446344877,1550225596,0373240074,0696209292,0552137308,0552136875,0373242980,0694525871,0440221056,0440220890
0840734530,0375502319,067100980X,0968467504,0743227433,1400013755,1400011663,0972952942,0375402497,0743227891,0972869263
0749004754,8426109942,038531485X,051768781X,051788433X,0517883384,0517880075,1560532734,0375402497,0517800985,1560524936
073943828X,0739430157,0451521390,0195124995,067100980X,0374524238,0972952942,0972869263,0743227433,0375402497,0743227891
0192835025,0441011276,0395661641,0753804670,3453196384,0140063080,0538124415,3453179323,0393022722,0393024407,0534096484
0373707541,0449150631,0440212596,0373292759,0061085154,0843944641,0394532805,073570869X,0394542142,0929141741,0394550374
0441011276,0192835025,1578061695,0375509038,1559703849,1559702435,0764552635,0375505598,1559585226,0375506217,0764552864
0451521390,0195124995,0739430157,073943828X,0375756655,037328697X,0449910415,0373270968,0373271786,0688044611,0373271980
1591823145,1569319782,1591823188,159182317X,1591823153,0072823119,0195065433,0130471771,1593270003,1932111743,0441011276
0440212596,0553527126,0373261632,0345311922,0451450507,1400013755,0747544441,0747541523,0747537690,0380729210,0671734970
0321196775,0130209899,0767421523,053458618X,0448089246,0534586171,0130282545,0534608671,0072411406,0155062050,0448089424
0061099325,0330266454,0380793172,0671522906,0876059450,0914327496,0064403823,0882665766,0892964898,0684848228,0786000988
0330484516,1900850303,0385337841,0895870061,0896084825,0393305546,0896084574,0896083292,0393315002,0896081303,0393317773
0393020371,0375757201,0330484516,1900850303,041511473X,0871137631,041619513X,0415943205,0871202646,0415135427,0385152329
1900850303,0330484516,0814627676,0802464645,0849957680,038533348x,0385334532,0385335032,2070752313,2080672479,1581590229
0345425294,0393318451,0451406818,0451408810,0538124415,0399500359,0553075624,0688159141,0679017747,0312150709,0345289129
0553583468,0373259913,0399149686,1590580273,0425183653,1551668351,1590580486,1890208825,0765309521,0451409914,1590580249
0345353315,1579541003,1561701653,1891411020,0007161484,0312205171,9719110643,0141309881,0553527738,0142500291,0805010149
8476409419,8420639133,0671703552,0393047504,0786010002,033026611X,0743246063,0452267897,1843530996,0393048500,0452271746
0451525221,0800717732,0073972010,0673980693,0449220591,0134589025,0375502327,0425039196,0804108331,0399116699,0804116989
0385336772,0743250109,0786867612,0373250649,051513466X,0399149686,0765309521,1590580486,1590580273,1590580249,1890208825
0140252800,0451522648,0718115813,0451203976,1552782492,2277238929,1400041473,0345345304,2020477815,0688103111,0385319215
0140250964,0671701274,0451197682,1568580010,1567997554,156799699X,0800785975,0373227752,1567920047,0373240066,0373240074
039575514X,083081650X,0844264717,0393302377,067346489X,0155003801,0669208868,0838451705,1560252723,1566199700,0451625560
0830714014,0785263292,1578560845,037319580X,0804819769,0553255126,1558610189,1558538291,155850804X,0553254456,1558322051
0345354931,0395534933,0671876457,0786904976,0553228897,1560763361,0786905131,0786883057,0671878468,0684801299,0399200525
0553278223,3257214154,3548254268,3257212054,3257208669,3257210450,0140442316,342311360X,3257207522,0805010459,0375507264
3257203659,3257212054,342311360X,3257214154,3257210450,3257208669,3548254268,3257207522,3499151502,3498020862,3423116714
3257208669,342311360X,3548254268,3257207522,3257210450,3257212054,3257214154,3499151502,3498020862,3423116714,3257203659
3257210450,342311360X,3548254268,3257207522,3257208669,3257212054,3257214154,3499151502,3498020862,3423116714,3257203659
3257214154,342311360X,3548254268,3257207522,3257208669,3257210450,3257212054,3499151502,3498020862,3423116714,3257203659
342311360X,3257207522,3548254268,3257214154,3257212054,3257210450,3257208669,3499151502,3498020862,3423116714,3257203659
3423116714,0894865838,0842373608,0395661641,0843174218,0395689279,0395694604,039570751X,0395710413,0843147024,0395718627
3548254268,342311360X,3257207522,3257214154,3257212054,3257210450,3257208669,3499151502,3498020862,3423116714,3257203659
0312872682,0920576621,0721400841,0385272022,091837118X,0385290349,0719052092,0917849221,0916773221,0553582313,0916390403
0345404793,0688166180,0451451279,0880387157,0553254456,0394718224,0671824171,0312966768,1573221228,0879977981,1557732272
0345433173,0373290675,156025355X,0451195981,0345447522,0671706055,1562013122,0552136875,1562224549,1562058002,055213452X
0375400117,0842339108,1855323540,0806504439,0812090187,0553230964,0762407905,0395904927,1855859939,1580050603,0449219968
0380717018,0380775476,0812538951,0553379364,0960607013,0028637798,0811825930,0471317519,0835607097,006095177X,1569246513
0380718332,0380775476,0380816067,0440162467,0811825930,0028637798,0960607013,1569246513,0787953431,0903505207,0471317519
038076654X,0373510225,0373512295,1555422020,0373058829,0801317800,0373123574,0688177522,0894649183,0471141038,0135115299
0380807866,8484034526,8466200711,0195054938,0312080735,096623460X,0446606294,0345284798,0380007576,0373292309,0595094724
0385316895,0764221396,1565122062,0865470723,0345435907,0373244274,0517595761,1575842181,0445031549,0688143059,034531428X
0385511612,0060083956,0553801910,0312874537,0399148655,0345284941,037540838X,0743428684,0380978830,8433908707,8483108445
0446610399,0971766711,0534534600,1878067923,0940069156,0697265870,1574160044,0761530924,0062502816,0807070718,0449141993
0451186648,0330415050,0061012238,0312423209,155166299X,0451407032,0425091511,0440207711,0425046087,0425163776,0743222830
0553580388,1556114249,0312980264,9812349510,1569244286,0821228579,0609608797,0130928585,0884964191,0679600140,1592281400
0671023616,0812090187,0842339108,1572232188,1578565480,0553111442,0688143253,0425105628,0786866179,0446301353,0061013447
0671027387,0451148428,1567185711,1860110886,0842337911,0452276365,156714053X,0060542799,0877847851,0670845876,0399135693
0804117934,0192820052,0140255087,0691096570,0446310069,1570710805,0425139530,0843114754,0688166512,0688155014,0671021672
0060987103,0553265857,0345383230,0802134637,0385323816,0743418379,0380780232,8474171210,0671637819,0140245251,0373052715
0151008116,0841914060,0747232970,0843951044,0674362500,1590580486,1590580273,1590580249,0380789116,1890208825,0399149686
0375704965,0142001546,0451409132,1401300952,0570046556,0460874675,019212305X,0907871127,0803289332,0373258674,0373258720
0804111359,0142000949,0140442316,0805010459,0140168540,0399505202,0747232970,087685479X,0671669842,0812568958,0375507264
1558744150,0373511426,0385496338,0307030768,0373026803,0451146360,0887763235,0156013355,037301970X,0312969171,037302956X
006102063X,0061052523,0786883057,0806905530,0586060545,0771061110,1586210300,0764912518,0525470816,038071986X,0671625225
0060013117,1590580273,0425183653,1890208825,1590580486,0399149686,0765309521,0380789116,1590580249,051513466X,031287829X
0060199563,0345271025,0812538951,0375505520,0385489366,0670844594,1932100040,0684854953,067088457X,189583757X,0887764983
0061040967,0749748028,075062289X,1559585226,0575070811,1559724048,0575055294,0374283354,0374284466,0573692742,1559703849
0061052515,0449236773,0525470816,0140058559,1566190959,0061050474,0671625225,0399136614,0345390261,0671899422,0671602551
0140620664,0571204643,0872202321,0140183132,0141184868,0224060503,0684864487,046503912X,0810109980,0141006102,1859580157
0312156960,0316706000,0330266454,0380793172,0140390340,8484034445,1852305614,0684850117,0345444078,0575072180,0802732801
0380730448,0811209822,3150064317,0771099754,0060193255,1864501863,0749748028,0595290361,0025994611,0140095888,0373264402
0380973839,0749748028,1593080476,1573890081,0525937951,0738204498,0446401757,1567184812,0811832406,1567182798,0811834948
0451526279,0380627035,0743204107,0486411435,0310228077,039471752X,0060915439,0061043540,0964928310,0553571249,0425162990
0743245024,0345368614,0749748028,0345369491,0449902986,0140063102,0395718627,0395733456,0842373608,0395811104,0395962757
0749748028,067100980X,0500281998,0374524238,1400013755,1400011663,0972952942,0972869263,0375402497,0743227433,0743227891
1401201172,0425194507,0749748028,0373632371,1565847407,0373512295,0373513178,0553239228,0373520190,0373612540,0373613849
156971620X,1401201172,0786883057,0749748028,0586060545,0771061110,0764912518,1586210300,0972044205,1566191696,0826319688
0375719180,0826317936,0805059490,0671432680,1857976584,0375506063,1890948128,0786883057,0440074088,1550170295,0385473907
0440235502,051512950X,0451148428,0671818937,0671002996,0345341953,1877961116,1555911927,0060973129,0553109367,0842337911
044023722X,0673524396,0312131518,1565122062,0764564382,0440217121,0618030107,0452279763,0764221396,0394748514,0789476460
0520011171,0872200760,0670856045,0321049314,0060904909,0380978423,1591821800,075285884X,0880701102,0517163187,1589230094
0670856045,0872200760,0520011171,0520242335,1582380805,0762412119,080249238X,0863560253,0789302411,0451195655,8433920456
0872200760,0670856045,0520011171,0374283354,0140095888,0606287973,0708825524,0942540042,0942456106,0942110048,0941831701
0671649949,0809069547,0753804670,0312267126,0140272941,042508647X,0618049347,0312857179,0671497782,0849937302,3442413052
0972044205,0385720688,0380709384,0330492136,0425162990,0764912518,1586210300,0345372336,0380711141,0771074670,0064440133
0345430476,0811825930,0028637798,006095177X,0835607097,0553379364,0960607013,0903505207,1569246513,0471317519,1576854019
0345435869,1552975401,0805055517,0449910024,0806922737,1570611483,0786904976,0671876457,0380978792,1560763361,0786905131
038081840X,031286955X,0684819058,0684814463,0684814625,0609605488,1551110458,1551092913,037575234X,037575525X,0375757201
0312979002,0441528678,0373262981,0380768836,0881501190,0380725355,038072846X,087011851X,0870114220,0399200525,0413183904
0812541642,051508932X,0312923260,0449200434,0849936810,044018293x,0395730996,0440146372,0449245659,0843923199,0061084905
0684193957,0345345304,0385319215,0451200993,0451521390,0739430157,0679412190,0373650027,0312168144,073943828X,0195124995
0380730138,0312969171,0020322208,0590423010,0312975570,0771045913,0449907953,0373169221,0747249563,0312971877,0670891649
0553219480,0553217984,0553219057,0553218395,0553218956,0449907694,1571740481,037328697X,0812059034,0375756655,1570718903
0553219057,0553217984,0553219480,0553218395,0553218956,0449907694,1571740481,037328697X,0812059034,0375756655,1570718903
0553218956,0553217984,0553219480,0553218395,0553219057,0449907694,1571740481,037328697X,0812059034,0375756655,1570718903
0553217984,0553218395,0553219480,0553218956,0553219057,0449907694,1571740481,037328697X,0812059034,0375756655,1570718903
0060188731,1582616485,0385485670,0679420908,0395478049,0679733485,0670838365,0394523628,1859580262,1879237660,0385491468
0142001740,0060170166,0140390340,0775004693,0872497658,0140055606,0811802221,0971766711,0805036539,0590934856,0451522605
0449207544,0684181320,0345327594,1563055066,0809015862,0609806599,089480698X,0764221396,0886774594,0812971426,1565122062
0515128554,0373483694,039914059X,0671731661,0380796368,0380812010,0515108618,0373028741,0446610852,0812510569,0786002700
067103619X,0771045913,0312969171,0688166180,0312966768,1573221228,0525944877,0440220432,0312977174,051512446X,0312192436
0743470389,0307104206,0679017747,0451191544,0553075624,1572230940,0752801449,1569471924,051788433X,0802732801,0345297261
0451154916,1567184294,0373196903,0373122691,0877730431,0913299944,0395657768,0684825953,0395661641,0395718627,3442726263
0785815147,1862047626,1567189652,1567184294,0451154916,089281764X,0312859090,0415015960,0312867670,0575070811,0929141741
0875421288,0785815147,0747204020,0919345530,0806522755,1567182585,1567186955,0875421911,156718796X,1567189652,0806524103
1567184294,0912177101,0750676558,0374524238,1557041431,0750931787,1556619510,1556618751,1556618646,0375402497,155661862X
156718796X,0785815147,1559636823,1567189652,0130197289,1567184294,1862047626,0451154916,089281764X,1551664755,1552852032
1862047626,0785815147,1567189652,0425188485,1573441120,1567184294,0553801171,0415015960,0575070811,0312864922,0312859090
0373196989,0899972292,0515114715,1556619510,1556618751,1556618646,155661862X,0374116202,0752841092,0515111880,0374167338
0060973897,0679725393,0553230964,0815411839,1579651658,0940322978,0195066707,0151002118,0140104682,0895264897,0534548865
1562613502,0553257765,0553285408,0517587874,1550544535,0441297528,0425028615,0451520521,0425036596,0345286006,0441873022
039456894X,0679725393,1579651658,0940322978,0140104682,0803233019,0877952604,0425139530,0425136809,0877736944,0877849234
0449213773,0679725393,1579651658,0140104682,039456894X,0940322978,0803233019,1565925785,0721426646,0140182985,0701137819
0679427430,9971692724,0870119265,0330484338,0195888596,0395346460,0684189259,0805044809,0020165609,1569470146,0940322978
0679725393,1579651658,0140104682,0940322978,039456894X,0803233019,0865473927,0399526870,0865475768,0399517413,0399507906
0553285408,0517587874,1562613502,0553257765,1550544535,0345286006,0441873022,0451520521,0441297528,0425036596,0425028615
0940322978,0140104682,0803233019,1579651658,0679725393,039456894X,0517163187,0753804670,075285884X,0880701102,1589230094
1579651658,0679725393,0940322978,0140104682,039456894X,0803233019,0941423662,0942110048,0941831701,0451626710,0373825501
0517587874,0553285408,1562613502,0553257765,1550544535,0451520521,0441297528,0425028615,0425036596,0441873022,0345286006
0451520521,0441873022,0425028615,0441297528,0345286006,0425036596,1550544535,0425103331,0877952604,0878577475,087877033X
0441297528,0451520521,0425028615,0345286006,0441873022,0425036596,1550544535,0385337841,0878577475,087877033X,0425103331
0425036596,0441873022,0451520521,0441297528,0425028615,0345286006,1550544535,0877888566,0877952604,0878577475,087877033X
0345286006,0441873022,0441297528,0425036596,0425028615,0451520521,1550544535,0385509308,0912936002,0913299944,073560505X
0345297709,0786904976,0671876457,0786905131,1560763361,0553245546,0380775549,0812512421,1566196264,0449702472,0671653962
0515134279,0812416503,0767905873,0099448785,0394551788,1562827545,0670033308,1555973981,0743233042,0670032204,0312961030
0385490992,037540838X,0449238687,0449206084,0553565109,0764551671,0373510225,0684855135,0345435907,0500281505,0446518131
0312980388,0373262671,1550138677,1559724048,1575664208,0446380997,0306806231,0684853914,1570710562,0373292368,0310209951
055356451X,0553560506,0886460905,1587882485,1561009881,0446676993,1551665492,0451407032,1578150442,0671041614,0671577271
084994371X,0849943450,0789473771,0747548080,0749313250,0345251911,3257213239,0872862828,0747552177,0393305546,3257062745
038549825X,1567997554,1569713596,0688177034,067162833X,0684824183,0471162302,0805019510,1555972357,0062734881,1582700877
0806962518,0937274992,0380978423,0867202076,0399526870,0865475768,0399517413,0399507906,0399200525,0870114220,0865424721
067170124X,0373120796,0553072633,0743233042,1555973981,0394551788,0670033308,0312961030,0670032204,1552090094,0821740261
0805056491,1562827049,038549825X,1858286786,0785813497,1570620636,1569245703,0761132589,0028614496,0373870612,0960255206
0679401377,038549825X,0805041486,0308102282,0316152447,0060177594,0671034790,3453063996,2290314471,8408019023,1568952996
8472239373,8427285280,8423334058,8401466377,8401014441,843928036X,8403595425,1573240389,1400011663,0972952942,0743225589
8449303044,8427201079,843928036X,8403595425,8401014441,8423334058,8472239373,8401466377,8427285280,1573240389,0385152329
0385306032,038549825X,0345345304,0373510225,0449146650,0743225783,0446812056,1562827049,0385319215,0134709071,0397472242
0821772953,0312982194,0821772163,0451409914,1890208825,1590580486,0399149686,0425183653,1590580249,1590580273,0765309521
0345379454,0312983816,0670033308,0394551788,1555973981,0743233042,0312961030,0670032204,0385301391,0786860960,0807070920
0553576925,0380766760,0380787164,0446307831,067179695X,0061099023,0373898460,0871314320,0451186133,0321085043,0062502638
843928036X,8403595425,8449303044,8401014441,8427201079,8472239373,8401466377,8423334058,8427285280,1573240389,1400013755
8427285280,8423334058,8401466377,8472239373,8401014441,843928036X,8403595425,1573240389,0375405836,0971545111,0971574308
8427201079,8449303044,8403595425,843928036X,8401014441,8427285280,8472239373,8401466377,8423334058,1573240389,0399507906
8403595425,843928036X,8449303044,8401014441,8427201079,8427285280,8401466377,8423334058,8472239373,1573240389,074351033X
0452274400,0449126684,0449126404,1567404731,0060916834,0446392588,0896081303,0393317773,0393318702,0670839337,0895870061
0812519655,0786904976,0671876457,0786905131,1560763361,0380775549,0879977981,0671653962,1842040154,0553245546,0446610909
0812524853,0786904976,0671876457,0786905131,1560763361,0140442316,0805010459,0399505202,0140168540,0380775549,0553245546
0449126404,0449126684,0452274400,0060916834,1567404731,0446392588,0670839337,0896081303,0393317773,0393318702,0895870061
0446392588,0449126684,0060916834,1567404731,0449126404,0452274400,0393321568,0895870541,0393322904,0393321835,0895871335
0670626511,0393047571,0380712970,0373272162,0451171284,0451170156,0451169921,074345829X,037328697X,0451169166,0451169034
0312995431,067172777X,034022231X,0821711563,0821713736,0821721933,0340829656,0821736949,0345251911,0821739522,1840385391
0446394521,0966335201,0380709201,193227023X,0671818937,0380709287,1877961116,1555911927,0345341953,0312971877,0821223208
0553578693,0312117973,0345465806,0835608077,0312855230,0771040695,0771056567,037540838X,0441653049,0023860103,0764551671
0061096091,0735709106,0312097638,0380811022,0394859235,0299165043,0800785959,0590188224,0782125034,0812510127,0849937132
0553298860,0345342615,0821739522,0898152712,044050841X,0915144158,0142001546,0812545842,038550361X,0570046556,1401300952
073570869X,0312198906,0312890389,067100980X,1400013755,1400011663,0972952942,0972869263,0743227433,0375402497,0743227891
0679450432,051513113X,0670030406,0316323187,0670428272,1570422877,0865470723,0385312865,0070479046,0688001793,0553131192
0312198906,073570869X,0312890389,0385337841,0393317773,0393322904,0393321835,0895871335,0393321568,0393318702,0896081303
0821770209,0345447395,051513466X,1590580486,1890208825,0765309521,0451459369,0380789116,1590580249,1590580273,0425183653
0061042943,0345445910,0679416498,0452276195,0688166180,0312966768,1573221228,0671002996,0395453992,0373217285,0688153321
006015781X,0062700138,0679444793,0385262094,039911565X,0671797972,1567920047,0446385050,0486238423,0670835684,0345360028
0156013967,0440220629,0945575092,0385337841,0571215939,0920576621,0385334532,0385335032,092026932X,091912304X,091837118X
0385314019,0345365836,0393051870,1893224848,1582431280,015100529X,0393322742,0849943663,0670868159,0375507264,0394750632
0743444167,0804105405,0373291159,0553344986,0965763986,0385254520,0312969376,0425103331,0877286027,0877455546,0877654328
1567920047,0385262094,039911565X,0679444793,0486238423,0446385050,0671797972,0062700138,006015781X,0670835684,0609601431
0207189455,0207143714,1875703071,0207189412,1573920959,0002216485,0415106001,0933031971,1569710813,0452267897,0452271746
0207189412,0207143714,1875703071,0207189455,1573920959,0002216485,0415106001,0933031971,1569710813,0452267897,0452271746
0207143714,0207189412,1875703071,0207189455,1573920959,0002216485,0415106001,1569713596,1569710813,0452267897,0452271746
0002216485,1573920959,1875703071,0207143714,0207189412,0207189455,0415106001,0393321568,0393321835,0895871335,0393318702
0060083298,0807070718,0002550555,0613139496,0028632753,0394557247,0880701102,0375508082,0618152849,086611971X,0375422579
0446672211,0786869054,1565121368,0740705520,0425099032,055325622X,0966724674,0312277032,0879520388,0786000120,0028612922
0807070718,0671703552,0751506451,1565847407,1565847393,0525476644,1565842766,1565656296,0373440065,1565296273,0373440340
0743213831,0881333735,1558507205,0195104579,0679764437,0520204069,0684841800,0520204395,0670848573,0300054289,006097253X
0062517856,0374524122,0345441613,0312321597,0899666159,0425176576,0373122594,0879516410,0155294237,0944502598,0671223399
0679767789,0807128295,0345341953,1877961116,1555911927,0671818937,0441736637,0821223208,0452282349,0679762876,0802137326
0425169626,0192126040,006008667X,0553090828,0316288764,0140436081,0595263127,0373264402,0025994611,0679745211,0940672022
0201416069,067178546x,055299488x,0744543533,0048260053,0224050613,0553407481,1875346058,0345468309,0140227091,0061055271
0140029400,0446521108,0761516719,0743444787,3499132060,0804109168,0333908732,0842311645,0373871708,038533673X,0140103147
2253005274,2253152447,2070376494,2020317206,2070416860,2070380823,2070421996,2723428885,2070700860,2070389324,2264030798
2070417743,2070384349,207053880X,2266033689,2070334368,229000510X,0743253981,1565925785,0373258720,0553239228,0743244419
2266033689,2070417743,2070384349,207053880X,2070334368,229000510X,0373258674,0373258720,0553239228,0743244419,0373261241
0878577475,067100980X,0743225511,0374524238,1400013755,1400011663,0972952942,0972869263,0375402497,0743227433,0743227891
2070384349,2070417743,207053880X,2266033689,2070334368,229000510X,0671688359,0553238655,0373258720,0553239228,0743244419
207053880X,2070384349,2266033689,2070417743,2070334368,229000510X,0373271786,1565925785,0373258720,0553239228,0743244419
2070334368,2070417743,2070384349,207053880X,2266033689,229000510X,2702413390,1860498019,0786010002,0881848050,0553340077
0879059508,038080798X,067100980X,0968467504,0743225589,0374524238,1400011663,0972952942,0972869263,0375402497,0743227433
038080798X,0879059508,0896938891,0670838365,0393090078,0896084825,0393305546,0896084574,0896083292,0393315002,0896081303
1405300566,0892966459,0395850878,0395599369,0395621518,0395657768,0395661641,0842373608,0395689279,0395694604,039570751X
0446525502,0385500769,0525943862,0842336214,0345357663,0446518050,0671004611,093871659X,0395534933,0670844594,0553228897
